epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,6909.52,0.82496,2.07079,0.19748,0.70163,0.96383,0.53768,0.35244,0.35228,0.22492,0.71258,0.15415,0.16882,0.10742,0.84261,1.97112,0.18292,0.68977,0.96038,0.000426411,0.000426411,0.000426411
47,7109.04,0.82325,2.05946,0.19847,0.70295,0.95578,0.67102,0.3419,0.31812,0.21959,0.31257,0.22184,0.16768,0.09924,0.84906,1.99788,0.1839,0.68705,0.95768,0.000418797,0.000418797,0.000418797
48,7333.89,0.8356,2.04526,0.19601,0.70533,0.95821,0.68037,0.29352,0.32176,0.21613,0.61702,0.1933,0.18803,0.10985,0.83919,1.97,0.18291,0.68511,0.95438,0.000411184,0.000411184,0.000411184
49,7534.66,0.81293,1.97348,0.19777,0.7043,0.95997,0.64777,0.35976,0.35324,0.23284,0.59142,0.22781,0.2071,0.12462,0.82645,1.87998,0.1804,0.67802,0.95367,0.000403571,0.000403571,0.000403571
50,7756.84,0.8151,1.93059,0.1968,0.6965,0.9613,0.66778,0.34412,0.34008,0.22309,0.84342,0.19889,0.22265,0.13946,0.83806,1.88616,0.18238,0.70157,0.9581,0.000395958,0.000395958,0.000395958
51,7970.29,0.82097,1.90897,0.19891,0.70063,0.96474,0.76914,0.26979,0.28572,0.20775,0.75085,0.16117,0.17316,0.11568,0.83644,1.87512,0.18262,0.70159,0.9587,0.000388345,0.000388345,0.000388345
52,8174.22,0.81013,1.90245,0.19632,0.68659,0.96168,0.74237,0.30427,0.35344,0.24284,0.68037,0.18634,0.20863,0.12486,0.82721,1.89558,0.18387,0.67562,0.94614,0.000380732,0.000380732,0.000380732
53,8384.58,0.80797,1.87555,0.1948,0.67144,0.94942,0.76557,0.33173,0.37524,0.25692,0.67484,0.19269,0.19812,0.12018,0.8304,1.89475,0.18244,0.70434,0.95209,0.000373119,0.000373119,0.000373119
54,8667.5,0.81647,1.88304,0.19194,0.7,0.95652,0.86502,0.33022,0.35989,0.24621,0.76133,0.20887,0.18818,0.11509,0.83334,1.89151,0.18082,0.67367,0.95536,0.000365506,0.000365506,0.000365506
55,8917.27,0.81809,1.81956,0.19034,0.68905,0.96473,0.64102,0.34572,0.34894,0.24185,0.57849,0.25065,0.19919,0.12429,0.8485,1.8363,0.1787,0.68911,0.95816,0.000357893,0.000357893,0.000357893
56,9118.39,0.8068,1.8147,0.19356,0.68232,0.95457,0.8846,0.25256,0.35643,0.23563,0.58362,0.24862,0.19729,0.11959,0.83063,1.84788,0.1776,0.6806,0.95455,0.00035028,0.00035028,0.00035028
57,9319.68,0.79353,1.78971,0.18862,0.66775,0.95201,0.52365,0.38125,0.36673,0.23808,0.77026,0.2305,0.21716,0.12799,0.82508,1.81731,0.17728,0.65786,0.95231,0.000342666,0.000342666,0.000342666
